Record_ID,Chamber_ID,Chamber_Name,Region,Wheel_Disk,Station_Ring,Sector,Position,DPID_Change_Date_FROM,DPID_Change_Date_TO,HV DPID,GAS DPID1,GAS DPID2,Roll_ID1,Roll_ID2,Roll_ID3,TEMPERATURE_ID,FOS_ID
49,447869,W0/S06/RB4-,Barrel,0,4,6,-,07-MAR-09 04.28.47.501000000 PM,,6505,16334,,,,,9670,
50,447870,W0/S06/RB4+,Barrel,0,4,6,+,07-MAR-09 04.28.47.501000000 PM,,6507,16334,,,,,9670,
51,447871,W0/S07/RB1in,Barrel,0,1,7,in,07-MAR-09 04.28.47.501000000 PM,,6509,16335,,,,,9678,
52,447872,W0/S07/RB1out,Barrel,0,1,7,out,07-MAR-09 04.28.47.501000000 PM,,6511,16335,,,,,9679,
53,447873,W0/S07/RB2in,Barrel,0,2,7,in,07-MAR-09 04.28.47.501000000 PM,,6513,16336,,,,,9677,
54,447874,W0/S07/RB2out,Barrel,0,2,7,out,07-MAR-09 04.28.47.501000000 PM,,6515,16336,,,,,9677,
55,447875,W0/S07/RB3-,Barrel,0,3,7,-,07-MAR-09 04.28.47.501000000 PM,,6517,16337,,,,,9676,
56,447876,W0/S07/RB3+,Barrel,0,3,7,+,07-MAR-09 04.28.47.501000000 PM,,6519,16337,,,,,9676,
57,447877,W0/S07/RB4-,Barrel,0,4,7,-,07-MAR-09 04.28.47.501000000 PM,,6521,16338,,,,,9675,
58,447878,W0/S07/RB4+,Barrel,0,4,7,+,07-MAR-09 04.28.47.501000000 PM,,6523,16338,,,,,9675,
59,447879,W0/S08/RB1in,Barrel,0,1,8,in,07-MAR-09 04.28.47.501000000 PM,,6525,16339,,,,,9683,
60,447880,W0/S08/RB1out,Barrel,0,1,8,out,07-MAR-09 04.28.47.501000000 PM,,6527,16339,,,,,9684,
61,447881,W0/S08/RB2in,Barrel,0,2,8,in,07-MAR-09 04.28.47.501000000 PM,,6529,16340,,,,,9682,
62,447882,W0/S08/RB2out,Barrel,0,2,8,out,07-MAR-09 04.28.47.501000000 PM,,6531,16340,,,,,9682,
63,447883,W0/S08/RB3-,Barrel,0,3,8,-,07-MAR-09 04.28.47.501000000 PM,,6533,16341,,,,,9681,
64,447884,W0/S08/RB3+,Barrel,0,3,8,+,07-MAR-09 04.28.47.501000000 PM,,6535,16341,,,,,9681,
65,447885,W0/S08/RB4-,Barrel,0,4,8,-,07-MAR-09 04.28.47.501000000 PM,,6537,16342,,,,,9680,
66,447886,W0/S08/RB4+,Barrel,0,4,8,+,07-MAR-09 04.28.47.501000000 PM,,6539,16342,,,,,9680,
67,447887,W0/S09/RB1in,Barrel,0,1,9,in,07-MAR-09 04.28.47.501000000 PM,,6541,16343,,,,,9688,
68,447888,W0/S09/RB1out,Barrel,0,1,9,out,07-MAR-09 04.28.47.501000000 PM,,6543,16343,,,,,9689,
69,447889,W0/S09/RB2in,Barrel,0,2,9,in,07-MAR-09 04.28.47.501000000 PM,,6545,16344,,,,,9687,
70,447890,W0/S09/RB2out,Barrel,0,2,9,out,07-MAR-09 04.28.47.501000000 PM,,6547,16344,,,,,9687,
71,447891,W0/S09/RB3-,Barrel,0,3,9,-,07-MAR-09 04.28.47.501000000 PM,,6549,16345,,,,,9686,
72,447892,W0/S09/RB3+,Barrel,0,3,9,+,07-MAR-09 04.28.47.501000000 PM,,6551,16345,,,,,9686,
73,447893,W0/S09/RB4,Barrel,0,4,9,,07-MAR-09 04.28.47.501000000 PM,,6553,16346,,,,,9685,
74,447894,W0/S10/RB1in,Barrel,0,1,10,in,07-MAR-09 04.28.47.501000000 PM,,6555,16347,,,,,9537,
75,447895,W0/S10/RB1out,Barrel,0,1,10,out,07-MAR-09 04.28.47.501000000 PM,,6557,16347,,,,,9538,
76,447896,W0/S10/RB2in,Barrel,0,2,10,in,07-MAR-09 04.28.47.501000000 PM,,6559,16348,,,,,9536,
77,447897,W0/S10/RB2out,Barrel,0,2,10,out,07-MAR-09 04.28.47.501000000 PM,,6561,16348,,,,,9536,
78,447898,W0/S10/RB3-,Barrel,0,3,10,-,07-MAR-09 04.28.47.501000000 PM,,6563,16349,,,,,9535,
79,447899,W0/S10/RB3+,Barrel,0,3,10,+,07-MAR-09 04.28.47.501000000 PM,,6565,16349,,,,,9535,
80,447900,W0/S10/RB4-,Barrel,0,4,10,-,07-MAR-09 04.28.47.501000000 PM,,6567,16350,,,,,9533,
81,447901,W0/S10/RB4+,Barrel,0,4,10,+,07-MAR-09 04.28.47.501000000 PM,,6569,16351,,,,,9534,
82,447902,W0/S11/RB1in,Barrel,0,1,11,in,07-MAR-09 04.28.47.501000000 PM,,6571,16352,,,,,9542,
83,447903,W0/S11/RB1out,Barrel,0,1,11,out,07-MAR-09 04.28.47.501000000 PM,,6573,16352,,,,,9543,
84,447904,W0/S11/RB2in,Barrel,0,2,11,in,07-MAR-09 04.28.47.501000000 PM,,6575,16353,,,,,9541,
85,447905,W0/S11/RB2out,Barrel,0,2,11,out,07-MAR-09 04.28.47.501000000 PM,,6577,16353,,,,,9541,
86,447906,W0/S11/RB3-,Barrel,0,3,11,-,07-MAR-09 04.28.47.501000000 PM,,6579,16354,,,,,9540,
87,447907,W0/S11/RB3+,Barrel,0,3,11,+,07-MAR-09 04.28.47.501000000 PM,,6581,16354,,,,,9540,
88,447908,W0/S11/RB4,Barrel,0,4,11,,07-MAR-09 04.28.47.501000000 PM,,3034,16355,,,,,9539,
89,447909,W0/S12/RB1in,Barrel,0,1,12,in,07-MAR-09 04.28.47.501000000 PM,,3035,16356,,,,,9547,
90,447910,W0/S12/RB1out,Barrel,0,1,12,out,07-MAR-09 04.28.47.501000000 PM,,3036,16356,,,,,9548,
91,447911,W0/S12/RB2in,Barrel,0,2,12,in,07-MAR-09 04.28.47.501000000 PM,,3255,16357,,,,,9546,
92,447912,W0/S12/RB2out,Barrel,0,2,12,out,07-MAR-09 04.28.47.501000000 PM,,3256,16357,,,,,9546,
93,447913,W0/S12/RB3-,Barrel,0,3,12,-,07-MAR-09 04.28.47.501000000 PM,,3257,16358,,,,,9545,
94,447914,W0/S12/RB3+,Barrel,0,3,12,+,07-MAR-09 04.28.47.501000000 PM,,3258,16358,,,,,9545,
95,447915,W0/S12/RB4-,Barrel,0,4,12,-,07-MAR-09 04.28.47.501000000 PM,,3259,16359,,,,,9544,
96,447916,W0/S12/RB4+,Barrel,0,4,12,+,07-MAR-09 04.28.47.501000000 PM,,3260,16359,,,,,9544,
97,447917,W-1/S01/RB1in,Barrel,-1,1,1,in,07-MAR-09 04.28.47.501000000 PM,,3038,16360,,,,,37776,
98,447918,W-1/S01/RB1out,Barrel,-1,1,1,out,07-MAR-09 04.28.47.501000000 PM,,3039,16360,,,,,97954,
99,447919,W-1/S01/RB2in,Barrel,-1,2,1,in,07-MAR-09 04.28.47.501000000 PM,,3040,16361,,,,,37775,
100,447920,W-1/S01/RB2out,Barrel,-1,2,1,out,07-MAR-09 04.28.47.501000000 PM,,3041,16361,,,,,37775,
101,447921,W-1/S01/RB3-,Barrel,-1,3,1,-,07-MAR-09 04.28.47.501000000 PM,,3042,16362,,,,,37774,
102,447922,W-1/S01/RB3+,Barrel,-1,3,1,+,07-MAR-09 04.28.47.501000000 PM,,3043,16362,,,,,37774,
103,447923,W-1/S01/RB4-,Barrel,-1,4,1,-,07-MAR-09 04.28.47.501000000 PM,,3045,16363,,,,,37773,
104,447924,W-1/S01/RB4+,Barrel,-1,4,1,+,07-MAR-09 04.28.47.501000000 PM,,3046,16363,,,,,37773,
105,447925,W-1/S02/RB1in,Barrel,-1,1,2,in,07-MAR-09 04.28.47.501000000 PM,,3047,16364,,,,,37781,
106,447926,W-1/S02/RB1out,Barrel,-1,1,2,out,07-MAR-09 04.28.47.501000000 PM,,3048,16364,,,,,37782,
107,447927,W-1/S02/RB2in,Barrel,-1,2,2,in,07-MAR-09 04.28.47.501000000 PM,,3049,16365,,,,,37780,
108,447928,W-1/S02/RB2out,Barrel,-1,2,2,out,07-MAR-09 04.28.47.501000000 PM,,3050,16365,,,,,37780,
109,447929,W-1/S02/RB3-,Barrel,-1,3,2,-,07-MAR-09 04.28.47.501000000 PM,,3052,16366,,,,,37779,
110,447930,W-1/S02/RB3+,Barrel,-1,3,2,+,07-MAR-09 04.28.47.501000000 PM,,3053,16366,,,,,37779,
111,447931,W-1/S02/RB4-,Barrel,-1,4,2,-,07-MAR-09 04.28.47.501000000 PM,,3054,16367,,,,,37778,
112,447932,W-1/S02/RB4+,Barrel,-1,4,2,+,07-MAR-09 04.28.47.501000000 PM,,3055,16367,,,,,37778,
113,447933,W-1/S03/RB1in,Barrel,-1,1,3,in,07-MAR-09 04.28.47.501000000 PM,,3056,16368,,,,,37786,
114,447934,W-1/S03/RB1out,Barrel,-1,1,3,out,07-MAR-09 04.28.47.501000000 PM,,3057,16368,,,,,37787,
115,447935,W-1/S03/RB2in,Barrel,-1,2,3,in,07-MAR-09 04.28.47.501000000 PM,,3059,16369,,,,,37785,
116,447936,W-1/S03/RB2out,Barrel,-1,2,3,out,07-MAR-09 04.28.47.501000000 PM,,3060,16369,,,,,37785,
117,447937,W-1/S03/RB3-,Barrel,-1,3,3,-,07-MAR-09 04.28.47.501000000 PM,,3061,16370,,,,,37784,
118,447938,W-1/S03/RB3+,Barrel,-1,3,3,+,07-MAR-09 04.28.47.501000000 PM,,3062,16370,,,,,37784,
119,447939,W-1/S03/RB4-,Barrel,-1,4,3,-,07-MAR-09 04.28.47.501000000 PM,,3063,16371,,,,,37783,
120,447940,W-1/S03/RB4+,Barrel,-1,4,3,+,07-MAR-09 04.28.47.501000000 PM,,3064,16371,,,,,37783,
121,447941,W-1/S04/RB1in,Barrel,-1,1,4,in,07-MAR-09 04.28.47.501000000 PM,,3066,16372,,,,,37988,
122,447942,W-1/S04/RB1out,Barrel,-1,1,4,out,07-MAR-09 04.28.47.501000000 PM,,3067,16372,,,,,37989,
123,447943,W-1/S04/RB2in,Barrel,-1,2,4,in,07-MAR-09 04.28.47.501000000 PM,,3068,16373,,,,,37987,
124,447944,W-1/S04/RB2out,Barrel,-1,2,4,out,07-MAR-09 04.28.47.501000000 PM,,3069,16373,,,,,37987,
125,447945,W-1/S04/RB3-,Barrel,-1,3,4,-,07-MAR-09 04.28.47.501000000 PM,,3070,16374,,,,,37986,
126,447946,W-1/S04/RB3+,Barrel,-1,3,4,+,07-MAR-09 04.28.47.501000000 PM,,3071,16374,,,,,37986,
127,447948,W-1/S04/RB4-,Barrel,-1,4,4,-,07-MAR-09 04.28.47.501000000 PM,,3074,16375,,,,,37984,
128,447947,W-1/S04/RB4--,Barrel,-1,4,4,--,07-MAR-09 04.28.47.501000000 PM,,3073,16375,,,,,37984,
129,447949,W-1/S04/RB4+,Barrel,-1,4,4,+,07-MAR-09 04.28.47.501000000 PM,,3075,16376,,,,,37985,
130,447950,W-1/S04/RB4++,Barrel,-1,4,4,++,07-MAR-09 04.28.47.501000000 PM,,3076,16376,,,,,37985,
131,447951,W-1/S05/RB1in,Barrel,-1,1,5,in,07-MAR-09 04.28.47.501000000 PM,,3077,16377,,,,,37993,
132,447952,W-1/S05/RB1out,Barrel,-1,1,5,out,07-MAR-09 04.28.47.501000000 PM,,3078,16377,,,,,37994,
133,447953,W-1/S05/RB2in,Barrel,-1,2,5,in,07-MAR-09 04.28.47.501000000 PM,,3080,16378,,,,,37992,
134,447954,W-1/S05/RB2out,Barrel,-1,2,5,out,07-MAR-09 04.28.47.501000000 PM,,3081,16378,,,,,37992,
135,447955,W-1/S05/RB3-,Barrel,-1,3,5,-,07-MAR-09 04.28.47.501000000 PM,,3082,16379,,,,,37991,
136,447956,W-1/S05/RB3+,Barrel,-1,3,5,+,07-MAR-09 04.28.47.501000000 PM,,3083,16379,,,,,37991,
137,447957,W-1/S05/RB4-,Barrel,-1,4,5,-,07-MAR-09 04.28.47.501000000 PM,,3084,16380,,,,,37990,
138,447958,W-1/S05/RB4+,Barrel,-1,4,5,+,07-MAR-09 04.28.47.501000000 PM,,3085,16380,,,,,37990,
139,447959,W-1/S06/RB1in,Barrel,-1,1,6,in,07-MAR-09 04.28.47.501000000 PM,,3087,16381,,,,,37998,
140,447960,W-1/S06/RB1out,Barrel,-1,1,6,out,07-MAR-09 04.28.47.501000000 PM,,3088,16381,,,,,37999,
141,447961,W-1/S06/RB2in,Barrel,-1,2,6,in,07-MAR-09 04.28.47.501000000 PM,,3089,16382,,,,,37997,
142,447962,W-1/S06/RB2out,Barrel,-1,2,6,out,07-MAR-09 04.28.47.501000000 PM,,3090,16382,,,,,37997,
143,447963,W-1/S06/RB3-,Barrel,-1,3,6,-,07-MAR-09 04.28.47.501000000 PM,,3091,16383,,,,,37996,
144,447964,W-1/S06/RB3+,Barrel,-1,3,6,+,07-MAR-09 04.28.47.501000000 PM,,3092,16383,,,,,37996,
145,447965,W-1/S06/RB4-,Barrel,-1,4,6,-,07-MAR-09 04.28.47.501000000 PM,,3094,16384,,,,,37995,
146,447966,W-1/S06/RB4+,Barrel,-1,4,6,+,07-MAR-09 04.28.47.501000000 PM,,3095,16384,,,,,37995,
147,447967,W-1/S07/RB1in,Barrel,-1,1,7,in,07-MAR-09 04.28.47.501000000 PM,,3096,16385,,,,,38003,
148,447968,W-1/S07/RB1out,Barrel,-1,1,7,out,07-MAR-09 04.28.47.501000000 PM,,3097,16385,,,,,38004,
149,447969,W-1/S07/RB2in,Barrel,-1,2,7,in,07-MAR-09 04.28.47.501000000 PM,,3098,16386,,,,,38002,
150,447970,W-1/S07/RB2out,Barrel,-1,2,7,out,07-MAR-09 04.28.47.501000000 PM,,3099,16386,,,,,38002,
151,447971,W-1/S07/RB3-,Barrel,-1,3,7,-,07-MAR-09 04.28.47.501000000 PM,,3101,16387,,,,,38001,
152,447972,W-1/S07/RB3+,Barrel,-1,3,7,+,07-MAR-09 04.28.47.501000000 PM,,3102,16387,,,,,38001,
153,447973,W-1/S07/RB4-,Barrel,-1,4,7,-,07-MAR-09 04.28.47.501000000 PM,,3103,16388,,,,,38000,
154,447974,W-1/S07/RB4+,Barrel,-1,4,7,+,07-MAR-09 04.28.47.501000000 PM,,3104,16388,,,,,38000,
155,447975,W-1/S08/RB1in,Barrel,-1,1,8,in,07-MAR-09 04.28.47.501000000 PM,,3105,16389,,,,,38008,
156,447976,W-1/S08/RB1out,Barrel,-1,1,8,out,07-MAR-09 04.28.47.501000000 PM,,3106,16389,,,,,38009,
157,447977,W-1/S08/RB2in,Barrel,-1,2,8,in,07-MAR-09 04.28.47.501000000 PM,,3108,16390,,,,,38007,
158,447978,W-1/S08/RB2out,Barrel,-1,2,8,out,07-MAR-09 04.28.47.501000000 PM,,3109,16390,,,,,38007,
159,447979,W-1/S08/RB3-,Barrel,-1,3,8,-,07-MAR-09 04.28.47.501000000 PM,,3110,16391,,,,,38006,
160,447980,W-1/S08/RB3+,Barrel,-1,3,8,+,07-MAR-09 04.28.47.501000000 PM,,3111,16391,,,,,38006,
161,447981,W-1/S08/RB4-,Barrel,-1,4,8,-,07-MAR-09 04.28.47.501000000 PM,,3112,16392,,,,,38005,
162,447982,W-1/S08/RB4+,Barrel,-1,4,8,+,07-MAR-09 04.28.47.501000000 PM,,3113,16392,,,,,38005,
163,447983,W-1/S09/RB1in,Barrel,-1,1,9,in,07-MAR-09 04.28.47.501000000 PM,,3115,16393,,,,,38013,
164,447984,W-1/S09/RB1out,Barrel,-1,1,9,out,07-MAR-09 04.28.47.501000000 PM,,3116,16393,,,,,38014,
165,447985,W-1/S09/RB2in,Barrel,-1,2,9,in,07-MAR-09 04.28.47.501000000 PM,,3117,16394,,,,,38012,
166,447986,W-1/S09/RB2out,Barrel,-1,2,9,out,07-MAR-09 04.28.47.501000000 PM,,3118,16394,,,,,38012,
167,447987,W-1/S09/RB3-,Barrel,-1,3,9,-,07-MAR-09 04.28.47.501000000 PM,,3119,16395,,,,,38011,
168,447988,W-1/S09/RB3+,Barrel,-1,3,9,+,07-MAR-09 04.28.47.501000000 PM,,3120,16395,,,,,38011,
169,447989,W-1/S09/RB4,Barrel,-1,4,9,,07-MAR-09 04.28.47.501000000 PM,,3122,16396,,,,,38010,
170,447990,W-1/S10/RB1in,Barrel,-1,1,10,in,07-MAR-09 04.28.47.501000000 PM,,3123,16397,,,,,37792,
171,447991,W-1/S10/RB1out,Barrel,-1,1,10,out,07-MAR-09 04.28.47.501000000 PM,,3124,16397,,,,,37793,
172,447992,W-1/S10/RB2in,Barrel,-1,2,10,in,07-MAR-09 04.28.47.501000000 PM,,3125,16398,,,,,37791,
173,447993,W-1/S10/RB2out,Barrel,-1,2,10,out,07-MAR-09 04.28.47.501000000 PM,,3126,16398,,,,,37791,
174,447994,W-1/S10/RB3-,Barrel,-1,3,10,-,07-MAR-09 04.28.47.501000000 PM,,3127,16399,,,,,37790,
175,447995,W-1/S10/RB3+,Barrel,-1,3,10,+,07-MAR-09 04.28.47.501000000 PM,,3129,16399,,,,,37790,
176,447996,W-1/S10/RB4-,Barrel,-1,4,10,-,07-MAR-09 04.28.47.501000000 PM,,3130,16400,,,,,37788,
177,447997,W-1/S10/RB4+,Barrel,-1,4,10,+,07-MAR-09 04.28.47.501000000 PM,,3131,16401,,,,,37789,
178,447998,W-1/S11/RB1in,Barrel,-1,1,11,in,07-MAR-09 04.28.47.501000000 PM,,3132,16402,,,,,37797,
179,447999,W-1/S11/RB1out,Barrel,-1,1,11,out,07-MAR-09 04.28.47.501000000 PM,,3133,16402,,,,,37798,
180,448000,W-1/S11/RB2in,Barrel,-1,2,11,in,07-MAR-09 04.28.47.501000000 PM,,3134,16403,,,,,37796,
181,448001,W-1/S11/RB2out,Barrel,-1,2,11,out,07-MAR-09 04.28.47.501000000 PM,,3136,16403,,,,,37796,
182,448002,W-1/S11/RB3-,Barrel,-1,3,11,-,07-MAR-09 04.28.47.501000000 PM,,3137,16404,,,,,37795,
183,448003,W-1/S11/RB3+,Barrel,-1,3,11,+,07-MAR-09 04.28.47.501000000 PM,,3138,16404,,,,,37795,
184,448004,W-1/S11/RB4,Barrel,-1,4,11,,07-MAR-09 04.28.47.501000000 PM,,3139,16405,,,,,37794,
185,448005,W-1/S12/RB1in,Barrel,-1,1,12,in,07-MAR-09 04.28.47.501000000 PM,,3140,16406,,,,,37802,
186,448006,W-1/S12/RB1out,Barrel,-1,1,12,out,07-MAR-09 04.28.47.501000000 PM,,3141,16406,,,,,37803,
187,448007,W-1/S12/RB2in,Barrel,-1,2,12,in,07-MAR-09 04.28.47.501000000 PM,,3262,16407,,,,,37801,
188,448008,W-1/S12/RB2out,Barrel,-1,2,12,out,07-MAR-09 04.28.47.501000000 PM,,3263,16407,,,,,37801,
189,448009,W-1/S12/RB3-,Barrel,-1,3,12,-,07-MAR-09 04.28.47.501000000 PM,,3264,16408,,,,,37800,
190,448010,W-1/S12/RB3+,Barrel,-1,3,12,+,07-MAR-09 04.28.47.501000000 PM,,3265,16408,,,,,37800,
191,448011,W-1/S12/RB4-,Barrel,-1,4,12,-,07-MAR-09 04.28.47.501000000 PM,,3266,16409,,,,,37799,
192,448012,W-1/S12/RB4+,Barrel,-1,4,12,+,07-MAR-09 04.28.47.501000000 PM,,3267,16409,,,,,37799,
193,448013,W-2/S01/RB1in,Barrel,-2,1,1,in,07-MAR-09 04.28.47.501000000 PM,,3143,16410,,,,,38058,
194,448014,W-2/S01/RB1out,Barrel,-2,1,1,out,07-MAR-09 04.28.47.501000000 PM,,3144,16410,,,,,38059,
195,448015,W-2/S01/RB2in,Barrel,-2,2,1,in,07-MAR-09 04.28.47.501000000 PM,,3145,16411,,,,,38057,
196,448016,W-2/S01/RB2out,Barrel,-2,2,1,out,07-MAR-09 04.28.47.501000000 PM,,3146,16411,,,,,38057,
197,448017,W-2/S01/RB3-,Barrel,-2,3,1,-,07-MAR-09 04.28.47.501000000 PM,,3147,16412,,,,,38056,
198,448018,W-2/S01/RB3+,Barrel,-2,3,1,+,07-MAR-09 04.28.47.501000000 PM,,3148,16412,,,,,38056,
199,448019,W-2/S01/RB4-,Barrel,-2,4,1,-,07-MAR-09 04.28.47.501000000 PM,,3150,16413,,,,,38055,
200,448020,W-2/S01/RB4+,Barrel,-2,4,1,+,07-MAR-09 04.28.47.501000000 PM,,3151,16413,,,,,38055,
201,448021,W-2/S02/RB1in,Barrel,-2,1,2,in,07-MAR-09 04.28.47.501000000 PM,,3152,16414,,,,,38063,
202,448022,W-2/S02/RB1out,Barrel,-2,1,2,out,07-MAR-09 04.28.47.501000000 PM,,3153,16414,,,,,38064,
203,448023,W-2/S02/RB2in,Barrel,-2,2,2,in,07-MAR-09 04.28.47.501000000 PM,,3154,16415,,,,,38062,
204,448024,W-2/S02/RB2out,Barrel,-2,2,2,out,07-MAR-09 04.28.47.501000000 PM,,3155,16415,,,,,38062,
205,448025,W-2/S02/RB3-,Barrel,-2,3,2,-,07-MAR-09 04.28.47.501000000 PM,,3157,16416,,,,,38061,
206,448026,W-2/S02/RB3+,Barrel,-2,3,2,+,07-MAR-09 04.28.47.501000000 PM,,3158,16416,,,,,38061,
207,448027,W-2/S02/RB4-,Barrel,-2,4,2,-,07-MAR-09 04.28.47.501000000 PM,,3159,16417,,,,,38060,
